collection,image,title,tags,date,year,style,subtitle,alt,featured,featured_rank,home_slot,project_area,project_area_rank,project_page_section,project_page_rank,header_background,header_background_rank,share_page,share_page_rank
pictures,"images/group_Photo Apr 01, 9 40 22 AM-2018.jpg",Group photo,team; group; lab,12/22/25,2018,square,,,,,,,,,,,,,
pictures,images/group_udel_ors_5-2017.jpeg,Group photo,team; group; lab,12/22/25,2017,square,,,,,,,,,,,,,
pictures,images/music-lotus belly up aspen-2017.jpg,Music: Lotus Belly Up Aspen,music; beyond the lab,12/22/25,2017,square,,,,,,,,,,,,,
pictures,images/talk_phd-2017.jpeg,Research talk,talk; conference; speaking,12/22/25,2017,square,,,,,,,,,,,,,
pictures,images/poster_4-2016.jpeg,Conference poster,poster; conference,12/22/25,2016,square,,,,,,,,,,,,,
pictures,images/group_uroc_ors_7-2015.jpeg,Group photo,team; group; lab,12/22/25,2015,square,,,,,,,,,,,,,
pictures,images/mentors_2-2015.jpeg,Mentors,mentors,12/22/25,2015,square,,,,,,,,,,,,,
pictures,images/poster_2-2015.jpeg,Conference poster,poster; conference,12/22/25,2015,square,,,,,,,,,,,,,
pictures,images/group_Udel-ORS-2014.jpeg,Group photo,team; group; lab,12/22/25,2014,square,,,,,,,,,,,,,
pictures,images/poster_1-2010.jpeg,Conference poster,poster; conference,12/22/25,2010,square,,,,,,,,,,,,,
pictures,images/sports_football-IMG_1423-2009.jpg,Sports,sports; beyond the lab,12/22/25,2009,square,,,,,,,,,,,,,
pictures,images/nature.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,TRUE,1,pictures,,,,,,,pictures,
pictures,images/nature_0.png,Nature panorama,nature; outdoors; beyond the lab,12/22/25,,banner,,,,,,,,,,TRUE,1,,
pictures,images/nature_11.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_12.png,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_13.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_15.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_16.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_17.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_18.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_19.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_2.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_20.jpeg,Nature panorama,nature; outdoors; beyond the lab,12/22/25,,banner,,,,,,,,,,,,,
pictures,images/nature_21.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_22.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_23.jpeg,Nature panorama,nature; outdoors; beyond the lab,12/22/25,,banner,,,,,,,,,,,,,
pictures,images/nature_24.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_25.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_26.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,imaging-ml,,,,,
pictures,images/nature_27.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_28.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_29.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_30.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_31.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_32.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_33.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_34.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_35.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_36.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_37.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_38.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_39.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_4.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_40.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_41.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_42.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,banner,,,,,,,,,,,,,
pictures,images/nature_43.JPG,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_44.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,banner,,,TRUE,4,,,,,,,,,
pictures,images/nature_45.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_5.jpeg,Nature,nature; outdoors; beyond the lab,12/22/25,,square,,,,,,,,,,,,,
pictures,images/nature_pano_2021.jpg,Nature panorama,nature; outdoors; beyond the lab,12/22/25,,banner,,,,,,,,,,,,,
art,images/science_10xdata-2025.jpeg,Scientific art,art; scientific art; imaging,12/22/25,2025,square,,,,,,,,,,,,,
art,images/ors-2024.jpeg,ORS Art in Science,art; scientific art; imaging,12/22/25,2024,square,,,,,,,,,,,,,
art,images/science_OL_ctFIRE_2B_D9-2022.png,Scientific art,art; scientific art; imaging,12/22/25,2022,square,,,,,,,,,,,,,
art,images/science_cool_pic3-2021.jpg,Scientific art,art; scientific art; imaging,12/22/25,2021,square,,,TRUE,2,,cartilage,,cartilage,,,,,
art,images/science_Picutre 4-2020.png,Scientific art,art; scientific art; imaging,12/22/25,2020,square,,,,,,,,,,,,,
art,images/science_ATDC5_all_96_well_c1+2+3+4+6-2019.jpg,Scientific art,art; scientific art; imaging,12/22/25,2019,square,,,TRUE,3,,,,,,,,,
art,images/science_cart_coculture_livedeadlipo2-2019.jpg,Scientific art,art; scientific art; imaging,12/22/25,2019,square,,,,,,,,cartilage,,TRUE,5,,
art,images/science_norm_synovium_coculture_livedeadlipo2-2019.jpg,Scientific art,art; scientific art; imaging,12/22/25,2019,square,,,,,,,,cartilage,,,,projects,
art,"images/science_Photo Aug 03, 12 28 38 PM-2019.jpg",Scientific art,art; scientific art; imaging,12/22/25,2019,square,,,,,,,,,,,,,
art,images/science_Splash of Pollock Color-2019.jpg,Scientific art,art; scientific art; imaging,12/22/25,2019,square,,,,,,,,cartilage,,,,art,
art,images/science_synlip-2019.jpg,Scientific art,art; scientific art; imaging,12/22/25,2019,square,,,,,,,,cartilage,,TRUE,7,,
art,images/science_0.png,Scientific art 0,art; scientific art; imaging,12/22/25,,square,,,TRUE,1,art,,,tendon,,,,,
art,images/science_1.jpg,Scientific art 1,art; scientific art; imaging,12/22/25,,square,,,,,,,,tendon,,,,,
art,images/science_12.jpeg,Scientific art 12,art; scientific art; imaging,12/22/25,,square,,,,,,,,tendon,,,,,
art,images/science_13.png,Scientific art 13,art; scientific art; imaging,12/22/25,,square,,,,,,,,other,,,,,
art,images/science_14.png,Scientific art 14,art; scientific art; imaging,12/22/25,,square,,,,,,other,,other,,,,,
art,images/science_16.png,Scientific art 16,art; scientific art; imaging,12/22/25,,square,,,,,,,,tendon,,,,,
art,images/science_17.png,Scientific art 17,art; scientific art; imaging,12/22/25,,square,,,,,,,,other,,,,,
art,images/science_18.png,Scientific art 18,art; scientific art; imaging,12/22/25,,square,,,,,,,,other,,,,,
art,images/science_19.jpeg,Scientific art 19,art; scientific art; imaging,12/22/25,,square,,,,,,,,,,,,,
art,images/science_2.jpeg,Scientific art 2,art; scientific art; imaging,12/22/25,,square,,,,,,,,,,,,,
art,images/science_20.jpeg,Scientific art 20,art; scientific art; imaging,12/22/25,,square,,,,,projects,tendon,,tendon,,TRUE,6,,
art,images/science_2019.png,Scientific art 2019,art; scientific art; imaging,12/22/25,,square,,,TRUE,4,,,,cartilage,,,,,
art,images/science_22.jpeg,Scientific art 22,art; scientific art; imaging,12/22/25,,square,,,,,,,,,,,,,
art,images/science_23.jpeg,Scientific art 23,art; scientific art; imaging,12/22/25,,square,,,,,,,,,,,,,
art,images/science_24.png,Scientific art 24,art; scientific art; imaging,12/22/25,,square,,,,,,,,other,,,,,
art,images/science_3.jpeg,Scientific art 3,art; scientific art; imaging,12/22/25,,square,,,,,,,,,,,,,
art,images/science_30.jpeg,Scientific art 30,art; scientific art; imaging,12/22/25,,square,,,,,,,,,,,,,
art,images/science_31.jpeg,Scientific art 31,art; scientific art; imaging,12/22/25,,square,,,,,,,,,,,,,
art,images/science_32.jpeg,Scientific art 32,art; scientific art; imaging,12/22/25,,square,,,,,,,,cartilage,,,,,
art,images/science_33.jpeg,Scientific art 33,art; scientific art; imaging,12/22/25,,square,,,,,,,,,,,,,
art,images/science_4.png,Scientific art 4,art; scientific art; imaging,12/22/25,,square,,,,,,imaging-ml,,imaging-ml,,,,,
art,images/science_5.jpeg,Scientific art 5,art; scientific art; imaging,12/22/25,,square,,,,,,,,,,,,,
art,images/science_6.jpeg,Scientific art 6,art; scientific art; imaging,12/22/25,,square,,,,,,,,cartilage,,,,,
art,images/science_7.jpeg,Scientific art 7,art; scientific art; imaging,12/22/25,,square,,,,,,,,,,,,,
art,images/science_8.jpeg,Scientific art 8,art; scientific art; imaging,12/22/25,,square,,,,,,,,cartilage,,,,,
art,images/science_9.jpeg,Scientific art 9,art; scientific art; imaging,12/22/25,,square,,,,,,,,tendon,,,,,
